Nr,TID,PID,x,y,t.sec,I.val,Len.m,D2S.m,D2R.m,D2P.m,q¡.deg,s¡.deg
796,14,3,772.321,747.449,0,428,23.922,22.861,NA,12.069,130.601,34.261
797,14,4,767.084,757.921,0,414,35.63,34.559,NA,11.708,116.565,-14.036
798,14,5,759.23,765.775,0,371,46.738,45.137,NA,11.107,135,18.435
799,14,6,752.685,763.157,0,577,53.787,46.613,NA,7.049,-158.199,66.801
800,14,7,744.831,755.303,0,337,64.894,46.613,NA,11.107,-135,23.199
801,14,8,744.831,743.522,0,612,76.676,40.41,NA,11.781,-90,45
802,14,9,744.831,733.05,0,362,87.148,37.232,NA,10.472,-90,0
803,14,10,753.994,727.814,0,401,97.701,27.521,NA,10.554,-29.745,60.255
804,14,11,764.466,727.814,0,324,108.174,17.068,NA,10.472,0,29.745
805,14,12,776.248,733.05,0,362,121.066,8.382,NA,12.892,23.962,23.962
806,14,13,782.793,734.359,0,326,127.741,7.962,NA,6.675,11.31,-12.653
807,14,14,788.029,729.123,0,356,135.146,7.049,NA,7.405,-45,-56.31
808,14,15,795.883,718.651,0,369,148.236,16.402,NA,13.09,-53.13,-8.13
809,14,16,808.973,717.342,0,395,161.391,28.976,NA,13.155,-5.711,47.42
810,14,17,816.827,723.887,0,334,171.615,35.44,NA,10.224,39.806,45.516
811,14,18,828.608,727.814,0,580,184.033,47.143,NA,12.418,18.435,-21.371
812,14,19,835.153,731.741,0,267,191.666,53.925,NA,7.633,30.964,12.529
813,14,20,845.626,730.432,0,351,202.22,64.262,NA,10.554,-7.125,-38.089
814,14,21,852.171,731.741,0,550,208.895,70.881,NA,6.675,11.31,18.435
815,14,22,863.952,730.432,0,555,220.748,82.562,NA,11.854,-6.34,-17.65
816,14,23,875.733,734.359,0,307,233.167,94.576,NA,12.418,18.435,24.775
817,14,24,888.823,735.668,0,354,246.322,107.73,NA,13.155,5.711,-12.724
818,14,25,897.986,735.668,0,375,255.485,116.862,NA,9.163,0,-5.711
819,14,26,908.458,734.359,0,359,266.039,127.217,NA,10.554,-7.125,-7.125
820,14,27,921.549,736.977,0,466,279.388,140.456,NA,13.349,11.31,18.435
821,14,28,930.712,743.522,0,277,290.649,150.195,NA,11.261,35.538,24.228
822,14,29,939.875,748.758,0,301,301.202,159.947,NA,10.554,29.745,-5.793
823,14,30,951.656,748.758,0,382,312.984,171.621,NA,11.781,0,-29.745
824,14,31,959.51,746.14,0,421,321.263,179.106,NA,8.279,-18.435,-18.435
825,14,32,964.746,740.904,0,876,328.668,183.827,NA,7.405,-45,-26.565
826,14,33,979.145,735.668,0,951,343.989,197.874,NA,15.322,-19.983,25.017
827,14,34,988.308,739.595,0,499,353.958,207.239,NA,9.969,23.199,43.182
828,14,35,993.545,740.904,0,334,359.356,212.549,NA,5.397,14.036,-9.162
829,14,36,1002.708,743.522,0,731,368.885,221.878,NA,9.53,15.945,1.909
830,14,37,1011.871,751.376,0,428,380.954,231.726,NA,12.069,40.601,24.656
831,14,38,1022.343,748.758,0,493,391.748,241.885,NA,10.794,-14.036,-54.638
832,14,39,1032.815,747.449,0,351,402.302,252.203,NA,10.554,-7.125,6.911
833,14,40,1038.051,751.376,0,610,408.847,257.77,NA,6.545,36.87,43.995
834,14,41,1041.978,765.775,0,1125,423.772,263.438,NA,14.925,74.745,37.875
835,14,42,1036.742,780.175,0,1147,439.094,260.84,NA,15.322,109.983,35.238
836,14,43,1032.815,798.501,0,313,457.836,261.44,NA,18.742,102.095,-7.888
837,14,44,1030.197,808.973,0,392,468.631,262.029,NA,10.794,104.036,1.941
838,14,45,1017.107,819.445,0,329,485.394,253.291,NA,16.764,141.34,37.304
839,14,46,1011.871,822.063,0,433,491.248,249.419,NA,5.854,153.435,12.095
840,14,47,1004.017,825.99,0,308,500.029,243.759,NA,8.781,153.435,0
841,14,48,996.163,828.608,0,412,508.308,237.723,NA,8.279,161.565,8.13
842,14,49,989.617,824.681,0,660,515.941,230.127,NA,7.633,-149.036,49.399
843,14,50,980.454,823.372,0,562,525.197,221.298,NA,9.256,-171.87,-22.834
844,14,51,968.673,824.681,0,718,537.051,211.373,NA,11.854,173.66,-14.47
845,14,52,962.128,824.681,0,888,543.596,205.599,NA,6.545,180,6.34
846,14,53,952.965,832.535,0,383,555.665,201.614,NA,12.069,139.399,-40.601
847,14,54,946.42,829.917,0,400,562.714,194.674,NA,7.049,-158.199,62.403
848,14,55,941.184,829.917,0,549,567.95,190.258,NA,5.236,180,-21.801
849,14,56,926.785,829.917,0,402,582.349,178.344,NA,14.399,180,0
850,14,57,913.694,831.226,0,726,595.505,168.66,NA,13.155,174.289,-5.711
851,14,58,904.531,829.917,0,363,604.761,160.732,NA,9.256,-171.87,13.841
852,14,59,895.368,822.063,0,707,616.829,148.664,NA,12.069,-139.399,32.471
853,14,60,884.896,822.063,0,569,627.302,140.803,NA,10.472,180,-40.601
854,14,61,870.497,825.99,0,518,642.227,133.494,NA,14.925,164.745,-15.255
855,15,1,756.612,608.693,0,485,0,0,NA,NA,NA,NA
856,15,2,767.084,606.075,0,631,10.794,10.794,NA,10.794,-14.036,NA
857,15,3,774.939,604.766,0,322,18.757,18.742,NA,7.962,-9.462,4.574
858,15,4,777.557,602.148,0,699,22.459,21.943,NA,3.702,-45,-35.538
859,15,5,785.411,600.839,0,646,30.422,29.85,NA,7.962,-9.462,35.538
860,15,6,791.956,598.221,0,800,37.471,36.862,NA,7.049,-21.801,-12.339
861,15,7,801.119,595.603,0,1060,47.001,46.392,NA,9.53,-15.945,5.856
862,15,8,802.428,585.131,0,378,57.554,51.519,NA,10.554,-82.875,-66.93
863,15,9,807.664,575.968,0,630,68.108,60.64,NA,10.554,-60.255,22.62
864,15,10,814.209,572.041,0,688,75.741,68.27,NA,7.633,-30.964,29.291
865,15,11,823.372,568.114,0,540,85.71,78.125,NA,9.969,-23.199,7.765
866,15,12,827.299,558.951,0,365,95.679,86.435,NA,9.969,-66.801,-43.603
867,15,13,833.844,551.096,0,558,105.903,96.344,NA,10.224,-50.194,16.607
868,15,14,840.389,548.478,0,851,112.952,103.172,NA,7.049,-21.801,28.393
869,15,15,854.789,539.315,0,331,130.02,120.216,NA,17.068,-32.471,-10.67
870,15,16,860.025,531.461,0,362,139.459,129.069,NA,9.439,-56.31,-23.839
871,15,17,866.57,520.989,0,656,151.809,140.651,NA,12.349,-57.995,-1.685
872,15,18,871.806,519.68,0,830,157.206,145.578,NA,5.397,-14.036,43.958
873,15,19,890.132,518.371,0,688,175.579,161.201,NA,18.373,-4.086,9.951
874,15,20,894.059,514.444,0,722,181.132,166.657,NA,5.554,-45,-40.914
875,15,21,907.149,511.826,0,436,194.482,179.01,NA,13.349,-11.31,33.69
876,15,22,915.003,507.899,0,644,203.263,187.743,NA,8.781,-26.565,-15.255
877,15,23,925.476,507.899,0,502,213.735,196.658,NA,10.472,0,26.565
878,15,24,937.257,514.444,0,696,227.212,203.753,NA,13.477,29.055,29.055
879,15,25,951.656,519.68,0,649,242.534,214.395,NA,15.322,19.983,-9.071
880,15,26,959.51,528.843,0,379,254.603,218.045,NA,12.069,49.399,29.416
881,15,27,967.364,530.152,0,998,262.565,224.911,NA,7.962,9.462,-39.936
882,15,28,979.145,532.77,0,337,274.633,235.128,NA,12.069,12.529,3.066
883,15,29,990.926,531.461,0,513,286.487,246.714,NA,11.854,-6.34,-18.869
884,15,30,1000.09,534.079,0,560,296.017,254.654,NA,9.53,15.945,22.286
885,15,31,1010.562,536.697,0,441,306.811,263.958,NA,10.794,14.036,-1.909
886,15,32,1019.725,538.006,0,509,316.068,272.442,NA,9.256,8.13,-5.906
887,15,33,1028.888,541.933,0,641,326.037,280.341,NA,9.969,23.199,15.068
888,15,34,1041.978,545.86,0,537,339.703,292.201,NA,13.667,16.699,-6.499
889,15,35,1047.214,547.169,0,752,345.1,297.043,NA,5.397,14.036,-2.663
890,15,36,1064.231,551.096,0,560,362.565,312.965,NA,17.464,12.995,-1.042
891,15,37,1074.704,552.406,0,407,373.119,323.033,NA,10.554,7.125,-5.87
892,15,38,1081.249,556.333,0,670,380.751,328.832,NA,7.633,30.964,23.839
893,15,39,1091.721,561.569,0,634,392.46,338.406,NA,11.708,26.565,-4.399
894,15,40,1099.575,568.114,0,471,402.683,345.355,NA,10.224,39.806,13.241
895,15,41,1106.12,573.35,0,603,411.065,351.29,NA,8.382,38.66,-1.146
896,15,42,1108.738,578.586,0,660,416.919,353.411,NA,5.854,63.435,24.775
897,15,43,1108.738,583.822,0,504,422.155,353.003,NA,5.236,90,26.565
898,15,44,1110.047,596.912,0,724,435.311,353.631,NA,13.155,84.289,-5.711
899,15,45,1112.665,611.311,0,336,449.946,356.062,NA,14.635,79.695,-4.594
900,15,46,1115.283,621.783,0,343,460.741,358.91,NA,10.794,75.964,-3.731
901,15,47,1113.974,629.638,0,565,468.703,357.975,NA,7.962,99.462,23.499
902,15,48,1113.974,641.419,0,349,480.484,358.857,NA,11.781,90,-9.462
903,15,49,1108.738,654.509,0,397,494.583,355.094,NA,14.099,111.801,21.801
904,15,50,1108.738,663.672,0,344,503.746,356.392,NA,9.163,90,-21.801
905,15,51,1104.811,672.835,0,689,513.715,354.057,NA,9.969,113.199,23.199
906,15,52,1102.193,684.616,0,596,525.784,353.822,NA,12.069,102.529,-10.67
907,15,53,1103.502,699.016,0,296,540.242,358.456,NA,14.459,84.806,-17.723
908,15,54,1104.811,704.252,0,761,545.639,361.073,NA,5.397,75.964,-8.842
909,15,55,1102.193,714.724,0,666,556.434,361.481,NA,10.794,104.036,28.072
910,15,56,1098.266,725.196,0,486,567.618,360.971,NA,11.184,110.556,6.52
911,15,57,1094.339,739.595,0,333,582.543,362.208,NA,14.925,105.255,-5.301
912,15,58,1091.721,748.758,0,416,592.073,363.202,NA,9.53,105.945,0.69
913,15,59,1083.867,757.921,0,448,604.141,359.673,NA,12.069,130.601,24.656
914,15,60,1076.013,763.157,0,552,613.581,354.79,NA,9.439,146.31,15.709
915,15,61,1073.395,773.63,0,740,624.375,357.148,NA,10.794,104.036,-42.274
916,16,1,726.505,733.05,0,525,0,0,NA,NA,NA,NA
917,16,2,736.977,729.123,0,406,11.184,11.184,NA,11.184,-20.556,NA
918,16,3,742.213,723.887,0,679,18.589,18.185,NA,7.405,-45,-24.444
919,16,4,751.376,718.651,0,510,29.143,28.739,NA,10.554,-29.745,15.255
920,16,5,756.612,709.488,0,662,39.696,38.231,NA,10.554,-60.255,-30.51
921,16,6,759.23,704.252,0,662,45.551,43.592,NA,5.854,-63.435,-3.18
922,16,7,767.084,700.325,0,677,54.332,52.131,NA,8.781,-26.565,36.87
923,16,8,772.321,697.706,0,613,60.186,57.864,NA,5.854,-26.565,0
924,16,9,778.866,691.161,0,1016,69.442,67.054,NA,9.256,-45,-18.435
925,16,10,782.793,687.234,0,326,74.996,72.577,NA,5.554,-45,0
926,16,11,786.72,678.071,0,684,84.965,81.538,NA,9.969,-66.801,-21.801
927,16,12,790.647,674.144,0,456,90.519,87.087,NA,5.554,-45,21.801
928,16,13,797.192,664.981,0,405,101.779,98.133,NA,11.261,-54.462,-9.462
929,16,14,799.81,659.745,0,810,107.633,103.669,NA,5.854,-63.435,-8.973
930,16,15,803.737,654.509,0,641,114.178,110.152,NA,6.545,-53.13,10.305
931,16,16,816.827,650.582,0,1095,127.845,122.307,NA,13.667,-16.699,36.431
932,16,17,828.608,654.509,0,384,140.263,128.817,NA,12.418,18.435,35.134
933,16,18,841.698,650.582,0,810,153.93,141.671,NA,13.667,-16.699,-35.134
934,16,19,848.244,650.582,0,614,160.475,147.042,NA,6.545,0,16.699
935,16,20,854.789,650.582,0,838,167.02,152.505,NA,6.545,0,0
936,16,21,866.57,649.273,0,631,178.874,163.208,NA,11.854,-6.34,-6.34
937,16,22,882.278,653.2,0,609,195.065,175.047,NA,16.192,14.036,20.376
938,16,23,891.441,650.582,0,545,204.595,184.404,NA,9.53,-15.945,-29.982
939,16,24,897.986,654.509,0,767,212.228,188.612,NA,7.633,30.964,46.909
940,16,25,912.385,650.582,0,672,227.153,203.353,NA,14.925,-15.255,-46.219
941,16,26,925.476,657.127,0,612,241.788,212.964,NA,14.635,26.565,41.82
942,16,27,941.184,661.054,0,434,257.98,226.43,NA,16.192,14.036,-12.529
943,16,28,951.656,661.054,0,654,268.452,236.382,NA,10.472,0,-14.036
944,16,29,956.892,661.054,0,896,273.688,241.375,NA,5.236,0,0
945,16,30,972.6,659.745,0,633,289.451,256.781,NA,15.763,-4.764,-4.764
946,16,31,981.763,664.981,0,333,300.005,264.178,NA,10.554,29.745,34.509
947,16,32,996.163,658.436,0,941,315.821,279.79,NA,15.817,-24.444,-54.189
948,16,33,1007.944,663.672,0,521,328.714,289.864,NA,12.892,23.962,48.406
949,16,34,1019.725,666.29,0,585,340.782,300.724,NA,12.069,12.529,-11.434
950,16,35,1027.579,667.599,0,584,348.745,308.106,NA,7.962,9.462,-3.066
951,16,36,1038.051,667.599,0,654,359.217,318.347,NA,10.472,0,-9.462
952,16,37,1055.068,667.599,0,604,376.234,335.019,NA,17.017,0,0
953,16,38,1065.54,667.599,0,641,386.706,345.295,NA,10.472,0,0
954,16,39,1077.322,666.29,0,703,398.56,357.112,NA,11.854,-6.34,-6.34
955,16,40,1082.558,667.599,0,647,403.957,362.019,NA,5.397,14.036,20.376
956,16,41,1077.322,666.29,0,779,409.354,357.112,NA,5.397,-165.964,-180
957,16,42,1068.159,668.908,0,561,418.884,347.622,NA,9.53,164.055,-29.982
958,16,43,1065.54,672.835,0,327,423.604,344.341,NA,4.72,123.69,-40.365
959,16,44,1057.686,670.217,0,832,431.883,337.089,NA,8.279,-161.565,74.745
960,16,45,1055.068,676.762,0,762,438.932,333.35,NA,7.049,111.801,-86.634
961,16,46,1044.596,685.925,0,475,452.847,321.563,NA,13.915,138.814,27.013
962,16,47,1034.124,688.543,0,717,463.642,310.822,NA,10.794,165.964,27.15
963,16,48,1027.579,689.852,0,743,470.316,304.157,NA,6.675,168.69,2.726
964,16,49,1018.416,693.779,0,494,480.285,294.541,NA,9.969,156.801,-11.889
965,16,50,1005.326,696.397,0,463,493.635,281.22,NA,13.349,168.69,11.889
966,16,51,996.163,699.016,0,513,503.165,271.797,NA,9.53,164.055,-4.635
967,16,52,985.69,700.325,0,608,513.718,261.243,NA,10.554,172.875,8.82
968,16,53,973.909,695.088,0,805,526.611,250.3,NA,12.892,-156.038,31.088
969,16,54,958.201,699.016,0,571,542.802,234.183,NA,16.192,165.964,-37.999
970,16,55,943.802,697.706,0,759,557.261,220.153,NA,14.459,-174.806,19.231
971,16,56,937.257,699.016,0,582,563.936,213.482,NA,6.675,168.69,-16.504
972,16,57,928.094,701.634,0,283,573.465,204.022,NA,9.53,164.055,-4.635
973,16,58,917.621,701.634,0,275,583.938,193.682,NA,10.472,180,15.945
974,16,59,904.531,699.016,0,306,597.287,181.251,NA,13.349,-168.69,11.31
975,16,60,890.132,696.397,0,325,611.922,167.682,NA,14.635,-169.695,-1.005
976,16,61,873.115,692.47,0,812,629.387,152.122,NA,17.464,-167.005,2.69
977,17,1,877.042,294.529,0,351,0,0,NA,NA,NA,NA
978,17,2,870.497,298.456,0,400,7.633,7.633,NA,7.633,149.036,NA
979,17,3,862.643,301.074,0,534,15.912,15.817,NA,8.279,161.565,12.529
980,17,4,858.716,310.237,0,405,25.881,24.137,NA,9.969,113.199,-48.366
981,17,5,854.789,315.473,0,370,32.426,30.559,NA,6.545,126.87,13.671
982,17,6,846.935,318.091,0,640,40.705,38.231,NA,8.279,161.565,34.695
983,17,7,841.698,323.327,0,631,48.11,45.591,NA,7.405,135,-26.565
984,17,8,837.771,331.182,0,615,56.891,53.718,NA,8.781,116.565,-18.435
985,17,9,829.917,333.8,0,312,65.17,61.343,NA,8.279,161.565,45
986,17,10,819.445,336.418,0,341,75.964,71.218,NA,10.794,165.964,4.399
987,17,11,811.591,336.418,0,702,83.819,77.708,NA,7.854,180,14.036
988,17,12,803.737,341.654,0,325,93.258,87.146,NA,9.439,146.31,-33.69
989,17,13,798.501,345.581,0,422,99.803,93.675,NA,6.545,143.13,-3.18
990,17,14,793.265,352.126,0,581,108.185,101.666,NA,8.382,128.66,-14.47
991,17,15,790.647,357.362,0,535,114.039,106.827,NA,5.854,116.565,-12.095
992,17,16,793.265,363.907,0,370,121.088,108.775,NA,7.049,68.199,-48.366
993,17,17,802.428,367.834,0,403,131.058,104.599,NA,9.969,23.199,-45
994,17,18,811.591,366.525,0,412,140.314,97.3,NA,9.256,-8.13,-31.329
995,17,19,819.445,366.525,0,355,148.168,92.2,NA,7.854,0,8.13
996,17,20,825.99,367.834,0,454,154.842,89.33,NA,6.675,11.31,11.31
997,17,21,839.08,365.216,0,414,168.192,80.235,NA,13.349,-11.31,-22.62
998,17,22,848.244,362.598,0,651,177.722,73.91,NA,9.53,-15.945,-4.635
999,17,23,856.098,367.834,0,491,187.161,76.238,NA,9.439,33.69,49.635
1000,17,24,866.57,369.143,0,549,197.715,75.345,NA,10.554,7.125,-26.565
1001,17,25,879.66,363.907,0,546,211.813,69.427,NA,14.099,-21.801,-28.926
1002,17,26,890.132,365.216,0,614,222.367,71.889,NA,10.554,7.125,28.926
1003,17,27,899.295,363.907,0,377,231.623,72.86,NA,9.256,-8.13,-15.255
1004,17,28,908.458,365.216,0,658,240.879,77.354,NA,9.256,8.13,16.26
1005,17,29,920.24,365.216,0,586,252.66,82.841,NA,11.781,0,-8.13
1006,17,30,929.403,365.216,0,442,261.824,87.968,NA,9.163,0,0
1007,17,31,935.948,363.907,0,624,268.498,91.012,NA,6.675,-11.31,-11.31
1008,17,32,942.493,363.907,0,621,275.043,95.379,NA,6.545,0,11.31
1009,17,33,952.965,358.671,0,902,286.752,99.391,NA,11.708,-26.565,-26.565
1010,17,34,958.201,358.671,0,1458,291.988,103.446,NA,5.236,0,26.565
1011,17,35,966.055,361.289,0,835,300.267,111.267,NA,8.279,18.435,18.435
1012,17,36,969.982,367.834,0,794,307.899,118.37,NA,7.633,59.036,40.601
1013,17,37,975.218,371.761,0,777,314.445,124.914,NA,6.545,36.87,-22.166
1014,17,38,984.381,374.379,0,652,323.974,133.783,NA,9.53,15.945,-20.925
1015,17,39,988.308,375.688,0,482,328.114,137.721,NA,4.139,18.435,2.49
1016,17,40,989.617,379.615,0,512,332.253,141.113,NA,4.139,71.565,53.13
1017,17,41,988.308,383.542,0,451,336.393,142.491,NA,4.139,108.435,36.87
1018,17,42,977.836,386.16,0,486,347.187,136.22,NA,10.794,165.964,57.529
1019,17,43,971.291,391.396,0,358,355.569,135.153,NA,8.382,141.34,-24.624
1020,17,44,962.128,388.778,0,759,365.099,126.975,NA,9.53,-164.055,54.605
1021,17,45,950.347,392.705,0,1028,377.517,122.524,NA,12.418,161.565,-34.38
1022,17,46,942.493,392.705,0,528,385.371,117.993,NA,7.854,180,18.435
1023,17,47,930.712,390.087,0,908,397.44,109.598,NA,12.069,-167.471,12.529
1024,17,48,925.476,387.469,0,477,403.294,104.803,NA,5.854,-153.435,14.036
1025,17,49,917.621,390.087,0,597,411.573,103.818,NA,8.279,161.565,-45
1026,17,50,905.84,390.087,0,488,423.354,99.803,NA,11.781,180,18.435
1027,17,51,896.677,388.778,0,459,432.61,96.273,NA,9.256,-171.87,8.13
1028,17,52,888.823,391.396,0,421,440.889,97.581,NA,8.279,161.565,-26.565
1029,17,53,874.424,391.396,0,1043,455.288,96.903,NA,14.399,180,18.435
1030,17,54,870.497,391.396,0,754,459.215,97.088,NA,3.927,180,0
1031,17,55,863.952,392.705,0,368,465.89,99.045,NA,6.675,168.69,-11.31
1032,17,56,854.789,388.778,0,664,475.859,96.841,NA,9.969,-156.801,34.509
1033,17,57,844.316,388.778,0,512,486.331,99.769,NA,10.472,180,-23.199
1034,17,58,833.844,388.778,0,409,496.804,103.677,NA,10.472,180,0
1035,17,59,823.372,386.16,0,351,507.598,106.192,NA,10.794,-165.964,14.036
1036,17,60,814.209,383.542,0,580,517.128,108.956,NA,9.53,-164.055,1.909
1037,17,61,803.737,382.233,0,555,527.681,114.305,NA,10.554,-172.875,-8.82
1038,18,1,179.335,450.302,0,550,0,0,NA,NA,NA,NA
1039,18,2,179.335,448.993,0,512,1.309,1.309,NA,1.309,-90,NA
1040,18,3,180.644,443.757,0,444,6.706,6.675,NA,5.397,-75.964,14.036
1041,18,4,181.953,442.448,0,529,8.557,8.279,NA,1.851,-45,30.964
1042,18,5,183.262,439.83,0,451,11.485,11.184,NA,2.927,-63.435,-18.435
1043,18,6,187.19,441.139,0,810,15.624,12.069,NA,4.139,18.435,81.87
1044,18,7,185.881,442.448,0,354,17.475,10.224,NA,1.851,135,116.565
1045,18,8,181.953,439.83,0,461,22.195,10.794,NA,4.72,-146.31,78.69
1046,18,9,179.335,441.139,0,752,25.122,9.163,NA,2.927,153.435,-60.255
1047,18,10,183.262,443.757,0,484,29.842,7.633,NA,4.72,33.69,-119.745
1048,18,11,184.572,441.139,0,697,32.769,10.554,NA,2.927,-63.435,-97.125
1049,18,12,183.262,438.521,0,480,35.696,12.418,NA,2.927,-116.565,-53.13
1050,18,13,189.808,438.521,0,605,42.241,15.763,NA,6.545,0,116.565
1051,18,14,192.426,443.757,0,284,48.095,14.635,NA,5.854,63.435,63.435
1052,18,15,196.353,443.757,0,271,52.022,18.233,NA,3.927,0,-63.435
1053,18,16,200.28,443.757,0,313,55.949,21.943,NA,3.927,0,0
1054,18,17,205.516,445.066,0,288,61.346,26.699,NA,5.397,14.036,14.036
1055,18,18,212.061,448.993,0,616,68.979,32.752,NA,7.633,30.964,16.928
1056,18,19,217.297,445.066,0,486,75.524,38.321,NA,6.545,-36.87,-67.834
1057,18,20,219.915,450.302,0,547,81.378,40.58,NA,5.854,63.435,100.305
1058,18,21,223.842,450.302,0,293,85.305,44.507,NA,3.927,0,-63.435
1059,18,22,231.696,450.302,0,455,93.16,52.361,NA,7.854,0,0
1060,18,23,236.932,451.611,0,323,98.557,57.612,NA,5.397,14.036,14.036
1061,18,24,243.477,452.92,0,324,105.231,64.195,NA,6.675,11.31,-2.726
1062,18,25,251.331,451.611,0,383,113.194,72.008,NA,7.962,-9.462,-20.772
1063,18,26,257.877,450.302,0,537,119.869,78.541,NA,6.675,-11.31,-1.848
1064,18,27,264.422,455.538,0,292,128.25,85.247,NA,8.382,38.66,49.97
1065,18,28,269.658,454.229,0,632,133.648,90.408,NA,5.397,-14.036,-52.696
1066,18,29,280.13,454.229,0,398,144.12,100.871,NA,10.472,0,14.036
1067,18,30,287.984,456.847,0,311,152.399,108.845,NA,8.279,18.435,18.435
1068,18,31,298.456,456.847,0,431,162.871,119.3,NA,10.472,0,-18.435
1069,18,32,307.619,454.229,0,488,172.401,128.344,NA,9.53,-15.945,-15.945
1070,18,33,311.546,456.847,0,364,177.12,132.373,NA,4.72,33.69,49.635
1071,18,34,319.4,459.465,0,370,185.399,140.364,NA,8.279,18.435,-15.255
1072,18,35,336.418,460.774,0,1020,202.467,157.431,NA,17.068,4.399,-14.036
1073,18,36,339.036,458.156,0,655,206.169,159.893,NA,3.702,-45,-49.399
1074,18,37,345.581,462.083,0,497,213.802,166.662,NA,7.633,30.964,75.964
1075,18,38,353.435,463.392,0,468,221.765,174.591,NA,7.962,9.462,-21.501
1076,18,39,358.671,460.774,0,958,227.619,179.641,NA,5.854,-26.565,-36.027
1077,18,40,358.671,468.628,0,1281,235.473,180.269,NA,7.854,90,116.565
1078,18,41,357.362,473.864,0,1312,240.87,179.579,NA,5.397,104.036,14.036
1079,18,42,362.598,479.101,0,626,248.275,185.511,NA,7.405,45,-59.036
1080,18,43,358.671,479.101,0,603,252.202,181.633,NA,3.927,180,135
1081,18,44,354.744,479.101,0,543,256.129,177.757,NA,3.927,180,0
1082,18,45,344.272,481.719,0,980,266.923,167.902,NA,10.794,165.964,-14.036
1083,18,46,337.727,479.101,0,1348,273.973,160.988,NA,7.049,-158.199,35.838
1084,18,47,332.491,471.246,0,855,283.412,154.581,NA,9.439,-123.69,34.509
1085,18,48,324.636,468.628,0,602,291.691,146.452,NA,8.279,-161.565,-37.875
1086,18,49,315.473,466.01,0,647,301.221,137.041,NA,9.53,-164.055,-2.49
1087,18,50,311.546,459.465,0,544,308.854,132.528,NA,7.633,-120.964,43.091
1088,18,51,305.001,456.847,0,1225,315.903,125.836,NA,7.049,-158.199,-37.235
1089,18,52,291.911,455.538,0,922,329.059,112.697,NA,13.155,-174.289,-16.091
1090,18,53,280.13,458.156,0,780,341.127,101.1,NA,12.069,167.471,-18.239
1091,18,54,270.967,464.701,0,358,352.388,92.756,NA,11.261,144.462,-23.009
1092,18,55,259.186,467.319,0,345,364.456,81.643,NA,12.069,167.471,23.009
1093,18,56,253.949,467.319,0,347,369.692,76.53,NA,5.236,180,12.529
1094,18,57,246.095,467.319,0,659,377.546,68.895,NA,7.854,180,0
1095,18,58,235.623,467.319,0,576,388.019,58.804,NA,10.472,180,0
1096,18,59,226.46,468.628,0,979,397.275,50.563,NA,9.256,171.87,-8.13
1097,18,60,215.988,473.864,0,623,408.983,43.573,NA,11.708,153.435,-18.435
1098,18,61,201.589,468.628,0,498,424.305,28.828,NA,15.322,-160.017,46.548
1099,19,1,534.079,480.41,0,406,0,0,NA,NA,NA,NA
1100,19,2,536.697,476.482,0,669,4.72,4.72,NA,4.72,-56.31,NA
1101,19,3,536.697,473.864,0,809,7.338,7.049,NA,2.618,-90,-33.69
1102,19,4,535.388,468.628,0,657,12.735,11.854,NA,5.397,-104.036,-14.036
1103,19,5,534.079,466.01,0,768,15.662,14.399,NA,2.927,-116.565,-12.529
1104,19,6,538.006,460.774,0,651,22.207,20.024,NA,6.545,-53.13,63.435
1105,19,7,553.715,459.465,0,556,37.97,28.709,NA,15.763,-4.764,48.366
1106,19,8,557.642,452.92,0,427,45.603,36.206,NA,7.633,-59.036,-54.273
1107,19,9,562.878,448.993,0,618,52.148,42.619,NA,6.545,-36.87,22.166
1108,19,10,566.805,447.684,0,717,56.287,46.281,NA,4.139,-18.435,18.435
1109,19,11,569.423,445.066,0,770,59.99,49.983,NA,3.702,-45,-26.565
1110,19,12,575.968,442.448,0,603,67.039,56.531,NA,7.049,-21.801,23.199
1111,19,13,583.822,438.521,0,347,75.82,65.031,NA,8.781,-26.565,-4.764
1112,19,14,590.367,433.285,0,436,84.202,73.41,NA,8.382,-38.66,-12.095
1113,19,15,602.148,428.049,0,735,97.094,85.878,NA,12.892,-23.962,14.697
1114,19,16,604.766,422.813,0,632,102.948,91.181,NA,5.854,-63.435,-39.472
1115,19,17,615.238,418.886,0,721,114.133,101.843,NA,11.184,-20.556,42.879
1116,19,18,619.165,417.577,0,416,118.272,105.772,NA,4.139,-18.435,2.121
1117,19,19,627.02,416.268,0,726,126.234,112.925,NA,7.962,-9.462,8.973
1118,19,20,634.874,413.65,0,577,134.513,120.898,NA,8.279,-18.435,-8.973
1119,19,21,640.11,413.65,0,458,139.75,125.297,NA,5.236,0,18.435
1120,19,22,647.964,412.341,0,482,147.712,132.677,NA,7.962,-9.462,-9.462
1121,19,23,658.436,408.414,0,480,158.896,143.694,NA,11.184,-20.556,-11.094
1122,19,24,663.672,408.414,0,423,164.132,148.249,NA,5.236,0,20.556
1123,19,25,672.835,409.723,0,525,173.388,155.724,NA,9.256,8.13,8.13
1124,19,26,681.998,405.796,0,397,183.358,165.672,NA,9.969,-23.199,-31.329
1125,19,27,695.088,407.105,0,695,196.513,176.911,NA,13.155,5.711,28.909
1126,19,28,700.325,404.487,0,492,202.367,182.762,NA,5.854,-26.565,-32.276
1127,19,29,706.87,401.868,0,734,209.416,189.803,NA,7.049,-21.801,4.764
1128,19,30,714.724,404.487,0,670,217.695,195.951,NA,8.279,18.435,40.236
