Nr,TID,PID,x,y,t.sec,I.val,Len.m,D2S.m,D2R.m,D2P.m,q¡.deg,s¡.deg,Current1,Current2
892,15,38,1081.249,556.333,0,670,380.751,328.832,NA,7.633,30.964,23.839,-200,0
893,15,39,1091.721,561.569,0,634,392.46,338.406,NA,11.708,26.565,-4.399,-200,0
894,15,40,1099.575,568.114,0,471,402.683,345.355,NA,10.224,39.806,13.241,-200,0
895,15,41,1106.12,573.35,0,603,411.065,351.29,NA,8.382,38.66,-1.146,-200,0
896,15,42,1108.738,578.586,0,660,416.919,353.411,NA,5.854,63.435,24.775,-200,0
897,15,43,1108.738,583.822,0,504,422.155,353.003,NA,5.236,90,26.565,-200,0
898,15,44,1110.047,596.912,0,724,435.311,353.631,NA,13.155,84.289,-5.711,-200,0
899,15,45,1112.665,611.311,0,336,449.946,356.062,NA,14.635,79.695,-4.594,-200,0
900,15,46,1115.283,621.783,0,343,460.741,358.91,NA,10.794,75.964,-3.731,-200,0
901,15,47,1113.974,629.638,0,565,468.703,357.975,NA,7.962,99.462,23.499,-200,0
902,15,48,1113.974,641.419,0,349,480.484,358.857,NA,11.781,90,-9.462,-200,0
903,15,49,1108.738,654.509,0,397,494.583,355.094,NA,14.099,111.801,21.801,-200,-200
904,15,50,1108.738,663.672,0,344,503.746,356.392,NA,9.163,90,-21.801,-200,-200
905,15,51,1104.811,672.835,0,689,513.715,354.057,NA,9.969,113.199,23.199,-200,-200
906,15,52,1102.193,684.616,0,596,525.784,353.822,NA,12.069,102.529,-10.67,-200,-200
907,15,53,1103.502,699.016,0,296,540.242,358.456,NA,14.459,84.806,-17.723,-200,-200
908,15,54,1104.811,704.252,0,761,545.639,361.073,NA,5.397,75.964,-8.842,-200,-200
909,15,55,1102.193,714.724,0,666,556.434,361.481,NA,10.794,104.036,28.072,-200,-200
910,15,56,1098.266,725.196,0,486,567.618,360.971,NA,11.184,110.556,6.52,-200,-200
911,15,57,1094.339,739.595,0,333,582.543,362.208,NA,14.925,105.255,-5.301,-200,-200
912,15,58,1091.721,748.758,0,416,592.073,363.202,NA,9.53,105.945,0.69,-200,-200
913,15,59,1083.867,757.921,0,448,604.141,359.673,NA,12.069,130.601,24.656,-200,-200
914,15,60,1076.013,763.157,0,552,613.581,354.79,NA,9.439,146.31,15.709,-200,-200
915,15,61,1073.395,773.63,0,740,624.375,357.148,NA,10.794,104.036,-42.274,-200,-200
916,16,1,726.505,733.05,0,525,0,0,NA,NA,NA,NA,0,0
917,16,2,736.977,729.123,0,406,11.184,11.184,NA,11.184,-20.556,NA,0,0
918,16,3,742.213,723.887,0,679,18.589,18.185,NA,7.405,-45,-24.444,0,0
919,16,4,751.376,718.651,0,510,29.143,28.739,NA,10.554,-29.745,15.255,0,0
920,16,5,756.612,709.488,0,662,39.696,38.231,NA,10.554,-60.255,-30.51,0,0
921,16,6,759.23,704.252,0,662,45.551,43.592,NA,5.854,-63.435,-3.18,0,0
922,16,7,767.084,700.325,0,677,54.332,52.131,NA,8.781,-26.565,36.87,0,0
923,16,8,772.321,697.706,0,613,60.186,57.864,NA,5.854,-26.565,0,0,0
924,16,9,778.866,691.161,0,1016,69.442,67.054,NA,9.256,-45,-18.435,0,0
925,16,10,782.793,687.234,0,326,74.996,72.577,NA,5.554,-45,0,0,0
926,16,11,786.72,678.071,0,684,84.965,81.538,NA,9.969,-66.801,-21.801,0,0
927,16,12,790.647,674.144,0,456,90.519,87.087,NA,5.554,-45,21.801,0,0
928,16,13,797.192,664.981,0,405,101.779,98.133,NA,11.261,-54.462,-9.462,200,0
929,16,14,799.81,659.745,0,810,107.633,103.669,NA,5.854,-63.435,-8.973,200,0
930,16,15,803.737,654.509,0,641,114.178,110.152,NA,6.545,-53.13,10.305,200,0
931,16,16,816.827,650.582,0,1095,127.845,122.307,NA,13.667,-16.699,36.431,200,0
932,16,17,828.608,654.509,0,384,140.263,128.817,NA,12.418,18.435,35.134,200,0
933,16,18,841.698,650.582,0,810,153.93,141.671,NA,13.667,-16.699,-35.134,200,0
934,16,19,848.244,650.582,0,614,160.475,147.042,NA,6.545,0,16.699,200,0
935,16,20,854.789,650.582,0,838,167.02,152.505,NA,6.545,0,0,200,0
936,16,21,866.57,649.273,0,631,178.874,163.208,NA,11.854,-6.34,-6.34,200,0
937,16,22,882.278,653.2,0,609,195.065,175.047,NA,16.192,14.036,20.376,200,0
938,16,23,891.441,650.582,0,545,204.595,184.404,NA,9.53,-15.945,-29.982,200,0
939,16,24,897.986,654.509,0,767,212.228,188.612,NA,7.633,30.964,46.909,200,0
940,16,25,912.385,650.582,0,672,227.153,203.353,NA,14.925,-15.255,-46.219,200,200
941,16,26,925.476,657.127,0,612,241.788,212.964,NA,14.635,26.565,41.82,200,200
942,16,27,941.184,661.054,0,434,257.98,226.43,NA,16.192,14.036,-12.529,200,200
943,16,28,951.656,661.054,0,654,268.452,236.382,NA,10.472,0,-14.036,200,200
944,16,29,956.892,661.054,0,896,273.688,241.375,NA,5.236,0,0,200,200
945,16,30,972.6,659.745,0,633,289.451,256.781,NA,15.763,-4.764,-4.764,200,200
946,16,31,981.763,664.981,0,333,300.005,264.178,NA,10.554,29.745,34.509,200,200
947,16,32,996.163,658.436,0,941,315.821,279.79,NA,15.817,-24.444,-54.189,200,200
948,16,33,1007.944,663.672,0,521,328.714,289.864,NA,12.892,23.962,48.406,200,200
949,16,34,1019.725,666.29,0,585,340.782,300.724,NA,12.069,12.529,-11.434,200,200
950,16,35,1027.579,667.599,0,584,348.745,308.106,NA,7.962,9.462,-3.066,200,200
951,16,36,1038.051,667.599,0,654,359.217,318.347,NA,10.472,0,-9.462,200,200
952,16,37,1055.068,667.599,0,604,376.234,335.019,NA,17.017,0,0,200,0
953,16,38,1065.54,667.599,0,641,386.706,345.295,NA,10.472,0,0,-200,0
954,16,39,1077.322,666.29,0,703,398.56,357.112,NA,11.854,-6.34,-6.34,-200,0
955,16,40,1082.558,667.599,0,647,403.957,362.019,NA,5.397,14.036,20.376,-200,0
956,16,41,1077.322,666.29,0,779,409.354,357.112,NA,5.397,-165.964,-180,-200,0
957,16,42,1068.159,668.908,0,561,418.884,347.622,NA,9.53,164.055,-29.982,-200,0
958,16,43,1065.54,672.835,0,327,423.604,344.341,NA,4.72,123.69,-40.365,-200,0
959,16,44,1057.686,670.217,0,832,431.883,337.089,NA,8.279,-161.565,74.745,-200,0
960,16,45,1055.068,676.762,0,762,438.932,333.35,NA,7.049,111.801,-86.634,-200,0
961,16,46,1044.596,685.925,0,475,452.847,321.563,NA,13.915,138.814,27.013,-200,0
962,16,47,1034.124,688.543,0,717,463.642,310.822,NA,10.794,165.964,27.15,-200,0
963,16,48,1027.579,689.852,0,743,470.316,304.157,NA,6.675,168.69,2.726,-200,0
964,16,49,1018.416,693.779,0,494,480.285,294.541,NA,9.969,156.801,-11.889,-200,-200
965,16,50,1005.326,696.397,0,463,493.635,281.22,NA,13.349,168.69,11.889,-200,-200
966,16,51,996.163,699.016,0,513,503.165,271.797,NA,9.53,164.055,-4.635,-200,-200
967,16,52,985.69,700.325,0,608,513.718,261.243,NA,10.554,172.875,8.82,-200,-200
968,16,53,973.909,695.088,0,805,526.611,250.3,NA,12.892,-156.038,31.088,-200,-200
969,16,54,958.201,699.016,0,571,542.802,234.183,NA,16.192,165.964,-37.999,-200,-200
970,16,55,943.802,697.706,0,759,557.261,220.153,NA,14.459,-174.806,19.231,-200,-200
971,16,56,937.257,699.016,0,582,563.936,213.482,NA,6.675,168.69,-16.504,-200,-200
972,16,57,928.094,701.634,0,283,573.465,204.022,NA,9.53,164.055,-4.635,-200,-200
973,16,58,917.621,701.634,0,275,583.938,193.682,NA,10.472,180,15.945,-200,-200
974,16,59,904.531,699.016,0,306,597.287,181.251,NA,13.349,-168.69,11.31,-200,-200
975,16,60,890.132,696.397,0,325,611.922,167.682,NA,14.635,-169.695,-1.005,-200,-200
976,16,61,873.115,692.47,0,812,629.387,152.122,NA,17.464,-167.005,2.69,-200,-200
977,17,1,877.042,294.529,0,351,0,0,NA,NA,NA,NA,0,0
978,17,2,870.497,298.456,0,400,7.633,7.633,NA,7.633,149.036,NA,0,0
979,17,3,862.643,301.074,0,534,15.912,15.817,NA,8.279,161.565,12.529,0,0
980,17,4,858.716,310.237,0,405,25.881,24.137,NA,9.969,113.199,-48.366,0,0
981,17,5,854.789,315.473,0,370,32.426,30.559,NA,6.545,126.87,13.671,0,0
982,17,6,846.935,318.091,0,640,40.705,38.231,NA,8.279,161.565,34.695,0,0
983,17,7,841.698,323.327,0,631,48.11,45.591,NA,7.405,135,-26.565,0,0
984,17,8,837.771,331.182,0,615,56.891,53.718,NA,8.781,116.565,-18.435,0,0
985,17,9,829.917,333.8,0,312,65.17,61.343,NA,8.279,161.565,45,0,0
986,17,10,819.445,336.418,0,341,75.964,71.218,NA,10.794,165.964,4.399,0,0
987,17,11,811.591,336.418,0,702,83.819,77.708,NA,7.854,180,14.036,0,0
988,17,12,803.737,341.654,0,325,93.258,87.146,NA,9.439,146.31,-33.69,0,0
989,17,13,798.501,345.581,0,422,99.803,93.675,NA,6.545,143.13,-3.18,200,0
990,17,14,793.265,352.126,0,581,108.185,101.666,NA,8.382,128.66,-14.47,200,0
991,17,15,790.647,357.362,0,535,114.039,106.827,NA,5.854,116.565,-12.095,200,0
992,17,16,793.265,363.907,0,370,121.088,108.775,NA,7.049,68.199,-48.366,200,0
993,17,17,802.428,367.834,0,403,131.058,104.599,NA,9.969,23.199,-45,200,0
994,17,18,811.591,366.525,0,412,140.314,97.3,NA,9.256,-8.13,-31.329,200,0
995,17,19,819.445,366.525,0,355,148.168,92.2,NA,7.854,0,8.13,200,0
996,17,20,825.99,367.834,0,454,154.842,89.33,NA,6.675,11.31,11.31,200,0
997,17,21,839.08,365.216,0,414,168.192,80.235,NA,13.349,-11.31,-22.62,200,0
998,17,22,848.244,362.598,0,651,177.722,73.91,NA,9.53,-15.945,-4.635,200,0
999,17,23,856.098,367.834,0,491,187.161,76.238,NA,9.439,33.69,49.635,200,0
1000,17,24,866.57,369.143,0,549,197.715,75.345,NA,10.554,7.125,-26.565,200,0
1001,17,25,879.66,363.907,0,546,211.813,69.427,NA,14.099,-21.801,-28.926,200,200
1002,17,26,890.132,365.216,0,614,222.367,71.889,NA,10.554,7.125,28.926,200,200
1003,17,27,899.295,363.907,0,377,231.623,72.86,NA,9.256,-8.13,-15.255,200,200
1004,17,28,908.458,365.216,0,658,240.879,77.354,NA,9.256,8.13,16.26,200,200
1005,17,29,920.24,365.216,0,586,252.66,82.841,NA,11.781,0,-8.13,200,200
1006,17,30,929.403,365.216,0,442,261.824,87.968,NA,9.163,0,0,200,200
1007,17,31,935.948,363.907,0,624,268.498,91.012,NA,6.675,-11.31,-11.31,200,200
1008,17,32,942.493,363.907,0,621,275.043,95.379,NA,6.545,0,11.31,200,200
1009,17,33,952.965,358.671,0,902,286.752,99.391,NA,11.708,-26.565,-26.565,200,200
1010,17,34,958.201,358.671,0,1458,291.988,103.446,NA,5.236,0,26.565,200,200
1011,17,35,966.055,361.289,0,835,300.267,111.267,NA,8.279,18.435,18.435,200,200
1012,17,36,969.982,367.834,0,794,307.899,118.37,NA,7.633,59.036,40.601,200,200
1013,17,37,975.218,371.761,0,777,314.445,124.914,NA,6.545,36.87,-22.166,200,0
1014,17,38,984.381,374.379,0,652,323.974,133.783,NA,9.53,15.945,-20.925,-200,0
1015,17,39,988.308,375.688,0,482,328.114,137.721,NA,4.139,18.435,2.49,-200,0
1016,17,40,989.617,379.615,0,512,332.253,141.113,NA,4.139,71.565,53.13,-200,0
1017,17,41,988.308,383.542,0,451,336.393,142.491,NA,4.139,108.435,36.87,-200,0
1018,17,42,977.836,386.16,0,486,347.187,136.22,NA,10.794,165.964,57.529,-200,0
1019,17,43,971.291,391.396,0,358,355.569,135.153,NA,8.382,141.34,-24.624,-200,0
1020,17,44,962.128,388.778,0,759,365.099,126.975,NA,9.53,-164.055,54.605,-200,0
1021,17,45,950.347,392.705,0,1028,377.517,122.524,NA,12.418,161.565,-34.38,-200,0
1022,17,46,942.493,392.705,0,528,385.371,117.993,NA,7.854,180,18.435,-200,0
1023,17,47,930.712,390.087,0,908,397.44,109.598,NA,12.069,-167.471,12.529,-200,0
1024,17,48,925.476,387.469,0,477,403.294,104.803,NA,5.854,-153.435,14.036,-200,0
1025,17,49,917.621,390.087,0,597,411.573,103.818,NA,8.279,161.565,-45,-200,-200
1026,17,50,905.84,390.087,0,488,423.354,99.803,NA,11.781,180,18.435,-200,-200
1027,17,51,896.677,388.778,0,459,432.61,96.273,NA,9.256,-171.87,8.13,-200,-200
1028,17,52,888.823,391.396,0,421,440.889,97.581,NA,8.279,161.565,-26.565,-200,-200
1029,17,53,874.424,391.396,0,1043,455.288,96.903,NA,14.399,180,18.435,-200,-200
1030,17,54,870.497,391.396,0,754,459.215,97.088,NA,3.927,180,0,-200,-200
1031,17,55,863.952,392.705,0,368,465.89,99.045,NA,6.675,168.69,-11.31,-200,-200
1032,17,56,854.789,388.778,0,664,475.859,96.841,NA,9.969,-156.801,34.509,-200,-200
1033,17,57,844.316,388.778,0,512,486.331,99.769,NA,10.472,180,-23.199,-200,-200
1034,17,58,833.844,388.778,0,409,496.804,103.677,NA,10.472,180,0,-200,-200
1035,17,59,823.372,386.16,0,351,507.598,106.192,NA,10.794,-165.964,14.036,-200,-200
1036,17,60,814.209,383.542,0,580,517.128,108.956,NA,9.53,-164.055,1.909,-200,-200
1037,17,61,803.737,382.233,0,555,527.681,114.305,NA,10.554,-172.875,-8.82,-200,-200
1038,18,1,179.335,450.302,0,550,0,0,NA,NA,NA,NA,0,0
1039,18,2,179.335,448.993,0,512,1.309,1.309,NA,1.309,-90,NA,0,0
1040,18,3,180.644,443.757,0,444,6.706,6.675,NA,5.397,-75.964,14.036,0,0
1041,18,4,181.953,442.448,0,529,8.557,8.279,NA,1.851,-45,30.964,0,0
1042,18,5,183.262,439.83,0,451,11.485,11.184,NA,2.927,-63.435,-18.435,0,0
1043,18,6,187.19,441.139,0,810,15.624,12.069,NA,4.139,18.435,81.87,0,0
1044,18,7,185.881,442.448,0,354,17.475,10.224,NA,1.851,135,116.565,0,0
1045,18,8,181.953,439.83,0,461,22.195,10.794,NA,4.72,-146.31,78.69,0,0
1046,18,9,179.335,441.139,0,752,25.122,9.163,NA,2.927,153.435,-60.255,0,0
1047,18,10,183.262,443.757,0,484,29.842,7.633,NA,4.72,33.69,-119.745,0,0
1048,18,11,184.572,441.139,0,697,32.769,10.554,NA,2.927,-63.435,-97.125,0,0
1049,18,12,183.262,438.521,0,480,35.696,12.418,NA,2.927,-116.565,-53.13,0,0
1050,18,13,189.808,438.521,0,605,42.241,15.763,NA,6.545,0,116.565,200,0
1051,18,14,192.426,443.757,0,284,48.095,14.635,NA,5.854,63.435,63.435,200,0
1052,18,15,196.353,443.757,0,271,52.022,18.233,NA,3.927,0,-63.435,200,0
1053,18,16,200.28,443.757,0,313,55.949,21.943,NA,3.927,0,0,200,0
1054,18,17,205.516,445.066,0,288,61.346,26.699,NA,5.397,14.036,14.036,200,0
1055,18,18,212.061,448.993,0,616,68.979,32.752,NA,7.633,30.964,16.928,200,0
1056,18,19,217.297,445.066,0,486,75.524,38.321,NA,6.545,-36.87,-67.834,200,0
1057,18,20,219.915,450.302,0,547,81.378,40.58,NA,5.854,63.435,100.305,200,0
1058,18,21,223.842,450.302,0,293,85.305,44.507,NA,3.927,0,-63.435,200,0
1059,18,22,231.696,450.302,0,455,93.16,52.361,NA,7.854,0,0,200,0
1060,18,23,236.932,451.611,0,323,98.557,57.612,NA,5.397,14.036,14.036,200,0
1061,18,24,243.477,452.92,0,324,105.231,64.195,NA,6.675,11.31,-2.726,200,0
1062,18,25,251.331,451.611,0,383,113.194,72.008,NA,7.962,-9.462,-20.772,200,200
1063,18,26,257.877,450.302,0,537,119.869,78.541,NA,6.675,-11.31,-1.848,200,200
1064,18,27,264.422,455.538,0,292,128.25,85.247,NA,8.382,38.66,49.97,200,200
1065,18,28,269.658,454.229,0,632,133.648,90.408,NA,5.397,-14.036,-52.696,200,200
1066,18,29,280.13,454.229,0,398,144.12,100.871,NA,10.472,0,14.036,200,200
1067,18,30,287.984,456.847,0,311,152.399,108.845,NA,8.279,18.435,18.435,200,200
1068,18,31,298.456,456.847,0,431,162.871,119.3,NA,10.472,0,-18.435,200,200
1069,18,32,307.619,454.229,0,488,172.401,128.344,NA,9.53,-15.945,-15.945,200,200
1070,18,33,311.546,456.847,0,364,177.12,132.373,NA,4.72,33.69,49.635,200,200
1071,18,34,319.4,459.465,0,370,185.399,140.364,NA,8.279,18.435,-15.255,200,200
1072,18,35,336.418,460.774,0,1020,202.467,157.431,NA,17.068,4.399,-14.036,200,200
1073,18,36,339.036,458.156,0,655,206.169,159.893,NA,3.702,-45,-49.399,200,200
1074,18,37,345.581,462.083,0,497,213.802,166.662,NA,7.633,30.964,75.964,200,0
1075,18,38,353.435,463.392,0,468,221.765,174.591,NA,7.962,9.462,-21.501,-200,0
1076,18,39,358.671,460.774,0,958,227.619,179.641,NA,5.854,-26.565,-36.027,-200,0
1077,18,40,358.671,468.628,0,1281,235.473,180.269,NA,7.854,90,116.565,-200,0
1078,18,41,357.362,473.864,0,1312,240.87,179.579,NA,5.397,104.036,14.036,-200,0
1079,18,42,362.598,479.101,0,626,248.275,185.511,NA,7.405,45,-59.036,-200,0
1080,18,43,358.671,479.101,0,603,252.202,181.633,NA,3.927,180,135,-200,0
1081,18,44,354.744,479.101,0,543,256.129,177.757,NA,3.927,180,0,-200,0
1082,18,45,344.272,481.719,0,980,266.923,167.902,NA,10.794,165.964,-14.036,-200,0
1083,18,46,337.727,479.101,0,1348,273.973,160.988,NA,7.049,-158.199,35.838,-200,0
1084,18,47,332.491,471.246,0,855,283.412,154.581,NA,9.439,-123.69,34.509,-200,0
1085,18,48,324.636,468.628,0,602,291.691,146.452,NA,8.279,-161.565,-37.875,-200,0
1086,18,49,315.473,466.01,0,647,301.221,137.041,NA,9.53,-164.055,-2.49,-200,-200
1087,18,50,311.546,459.465,0,544,308.854,132.528,NA,7.633,-120.964,43.091,-200,-200
1088,18,51,305.001,456.847,0,1225,315.903,125.836,NA,7.049,-158.199,-37.235,-200,-200
1089,18,52,291.911,455.538,0,922,329.059,112.697,NA,13.155,-174.289,-16.091,-200,-200
1090,18,53,280.13,458.156,0,780,341.127,101.1,NA,12.069,167.471,-18.239,-200,-200
1091,18,54,270.967,464.701,0,358,352.388,92.756,NA,11.261,144.462,-23.009,-200,-200
1092,18,55,259.186,467.319,0,345,364.456,81.643,NA,12.069,167.471,23.009,-200,-200
1093,18,56,253.949,467.319,0,347,369.692,76.53,NA,5.236,180,12.529,-200,-200
1094,18,57,246.095,467.319,0,659,377.546,68.895,NA,7.854,180,0,-200,-200
1095,18,58,235.623,467.319,0,576,388.019,58.804,NA,10.472,180,0,-200,-200
1096,18,59,226.46,468.628,0,979,397.275,50.563,NA,9.256,171.87,-8.13,-200,-200
1097,18,60,215.988,473.864,0,623,408.983,43.573,NA,11.708,153.435,-18.435,-200,-200
1098,18,61,201.589,468.628,0,498,424.305,28.828,NA,15.322,-160.017,46.548,-200,-200
1099,19,1,534.079,480.41,0,406,0,0,NA,NA,NA,NA,0,0
1100,19,2,536.697,476.482,0,669,4.72,4.72,NA,4.72,-56.31,NA,0,0
1101,19,3,536.697,473.864,0,809,7.338,7.049,NA,2.618,-90,-33.69,0,0
1102,19,4,535.388,468.628,0,657,12.735,11.854,NA,5.397,-104.036,-14.036,0,0
1103,19,5,534.079,466.01,0,768,15.662,14.399,NA,2.927,-116.565,-12.529,0,0
1104,19,6,538.006,460.774,0,651,22.207,20.024,NA,6.545,-53.13,63.435,0,0
1105,19,7,553.715,459.465,0,556,37.97,28.709,NA,15.763,-4.764,48.366,0,0
1106,19,8,557.642,452.92,0,427,45.603,36.206,NA,7.633,-59.036,-54.273,0,0
1107,19,9,562.878,448.993,0,618,52.148,42.619,NA,6.545,-36.87,22.166,0,0
1108,19,10,566.805,447.684,0,717,56.287,46.281,NA,4.139,-18.435,18.435,0,0
1109,19,11,569.423,445.066,0,770,59.99,49.983,NA,3.702,-45,-26.565,0,0
1110,19,12,575.968,442.448,0,603,67.039,56.531,NA,7.049,-21.801,23.199,0,0
1111,19,13,583.822,438.521,0,347,75.82,65.031,NA,8.781,-26.565,-4.764,200,0
1112,19,14,590.367,433.285,0,436,84.202,73.41,NA,8.382,-38.66,-12.095,200,0
1113,19,15,602.148,428.049,0,735,97.094,85.878,NA,12.892,-23.962,14.697,200,0
1114,19,16,604.766,422.813,0,632,102.948,91.181,NA,5.854,-63.435,-39.472,200,0
1115,19,17,615.238,418.886,0,721,114.133,101.843,NA,11.184,-20.556,42.879,200,0
1116,19,18,619.165,417.577,0,416,118.272,105.772,NA,4.139,-18.435,2.121,200,0
1117,19,19,627.02,416.268,0,726,126.234,112.925,NA,7.962,-9.462,8.973,200,0
1118,19,20,634.874,413.65,0,577,134.513,120.898,NA,8.279,-18.435,-8.973,200,0
1119,19,21,640.11,413.65,0,458,139.75,125.297,NA,5.236,0,18.435,200,0
1120,19,22,647.964,412.341,0,482,147.712,132.677,NA,7.962,-9.462,-9.462,200,0
1121,19,23,658.436,408.414,0,480,158.896,143.694,NA,11.184,-20.556,-11.094,200,0
1122,19,24,663.672,408.414,0,423,164.132,148.249,NA,5.236,0,20.556,200,0
1123,19,25,672.835,409.723,0,525,173.388,155.724,NA,9.256,8.13,8.13,200,200
1124,19,26,681.998,405.796,0,397,183.358,165.672,NA,9.969,-23.199,-31.329,200,200
1125,19,27,695.088,407.105,0,695,196.513,176.911,NA,13.155,5.711,28.909,200,200
1126,19,28,700.325,404.487,0,492,202.367,182.762,NA,5.854,-26.565,-32.276,200,200
1127,19,29,706.87,401.868,0,734,209.416,189.803,NA,7.049,-21.801,4.764,200,200
1128,19,30,714.724,404.487,0,670,217.695,195.951,NA,8.279,18.435,40.236,200,200
1129,19,31,726.505,407.105,0,453,229.764,205.916,NA,12.069,12.529,-5.906,200,200
1130,19,32,733.05,407.105,0,337,236.309,212.045,NA,6.545,0,-12.529,200,200
1131,19,33,744.831,404.487,0,611,248.378,224.01,NA,12.069,-12.529,-12.529,200,200
1132,19,34,751.376,401.868,0,478,255.427,231.056,NA,7.049,-21.801,-9.273,200,200
1133,19,35,761.848,405.796,0,405,266.611,239.679,NA,11.184,20.556,42.357,200,200
1134,19,36,769.702,409.723,0,591,275.392,245.998,NA,8.781,26.565,6.009,200,200
1135,19,37,778.866,409.723,0,471,284.555,254.788,NA,9.163,0,-26.565,200,0
1136,19,38,785.411,413.65,0,339,292.188,260.047,NA,7.633,30.964,30.964,-200,0
1137,19,39,794.574,412.341,0,640,301.444,269.241,NA,9.256,-8.13,-39.094,-200,0
1138,19,40,803.737,409.723,0,487,310.974,278.769,NA,9.53,-15.945,-7.815,-200,0
1139,19,41,814.209,411.032,0,602,321.528,288.593,NA,10.554,7.125,23.07,-200,0
1140,19,42,825.99,416.268,0,539,334.42,298.875,NA,12.892,23.962,16.837,-200,0
1141,19,43,825.99,420.195,0,865,338.347,298.057,NA,3.927,90,66.038,-200,0
1142,19,44,833.844,420.195,0,483,346.201,305.753,NA,7.854,0,-90,-200,0
1143,19,45,839.08,426.74,0,800,354.583,309.687,NA,8.382,51.34,51.34,-200,0
1144,19,46,845.626,430.667,0,326,362.216,315.492,NA,7.633,30.964,-20.376,-200,0
1145,19,47,848.244,431.976,0,890,365.143,317.876,NA,2.927,26.565,-4.399,-200,0
1146,19,48,856.098,434.594,0,546,373.422,325.261,NA,8.279,18.435,-8.13,-200,0
1147,19,49,856.098,437.212,0,888,376.04,324.903,NA,2.618,90,71.565,-200,-200
1148,19,50,860.025,442.448,0,803,382.585,328.149,NA,6.545,53.13,-36.87,-200,-200
1149,19,51,865.261,447.684,0,648,389.99,332.794,NA,7.405,45,-8.13,-200,-200
1150,19,52,871.806,455.538,0,483,400.214,338.641,NA,10.224,50.194,5.194,-200,-200
1151,19,53,874.424,462.083,0,451,407.263,340.838,NA,7.049,68.199,18.004,-200,-200
1152,19,54,879.66,471.246,0,343,417.817,345.702,NA,10.554,60.255,-7.943,-200,-200
1153,19,55,884.896,476.482,0,388,425.222,350.839,NA,7.405,45,-15.255,-200,-200
1154,19,56,888.823,485.646,0,358,435.191,354.782,NA,9.969,66.801,21.801,-200,-200
1155,19,57,891.441,486.955,0,508,438.118,357.422,NA,2.927,26.565,-40.236,-200,-200
1156,19,58,879.66,483.028,0,992,450.536,345.591,NA,12.418,-161.565,171.87,-200,-200
1157,19,59,871.806,488.264,0,585,459.976,337.818,NA,9.439,146.31,-52.125,-200,-200
1158,19,60,862.643,473.864,0,1035,477.043,328.629,NA,17.068,-122.471,91.219,-200,-200
1159,19,61,875.733,483.028,0,2403,493.022,341.664,NA,15.979,34.992,157.463,-200,-200
1160,20,1,505.281,739.595,0,558,0,0,NA,NA,NA,NA,0,0
1161,20,2,503.972,734.359,0,374,5.397,5.397,NA,5.397,-104.036,NA,0,0
1162,20,3,507.899,725.196,0,501,15.366,14.635,NA,9.969,-66.801,37.235,0,0
1163,20,4,511.826,719.96,0,616,21.911,20.697,NA,6.545,-53.13,13.671,0,0
1164,20,5,520.989,725.196,0,563,32.465,21.309,NA,10.554,29.745,82.875,0,0
1165,20,6,522.298,730.432,0,688,37.862,19.327,NA,5.397,75.964,46.219,0,0
1166,20,7,528.843,733.05,0,573,44.912,24.454,NA,7.049,21.801,-54.162,0,0
1167,20,8,526.225,731.741,0,650,47.839,22.369,NA,2.927,-153.435,-175.236,0,0
1168,20,9,523.607,734.359,0,703,51.541,19.06,NA,3.702,135,-71.565,0,0
1169,20,10,522.298,738.286,0,609,55.681,17.068,NA,4.139,108.435,-26.565,0,0
1170,20,11,522.298,742.213,0,561,59.608,17.217,NA,3.927,90,-18.435,0,0
1171,20,12,526.225,746.14,0,644,65.161,21.943,NA,5.554,45,-45,0,0
1172,20,13,523.607,753.994,0,645,73.44,23.306,NA,8.279,108.435,63.435,200,0
1173,20,14,522.298,760.539,0,474,80.115,26.986,NA,6.675,101.31,-7.125,200,0
1174,20,15,518.371,768.393,0,743,88.896,31.634,NA,8.781,116.565,15.255,200,0
1175,20,16,527.534,774.939,0,459,100.157,41.766,NA,11.261,35.538,-81.027,200,0
1176,20,17,532.77,784.102,0,343,110.71,52.312,NA,10.554,60.255,24.717,200,0
1177,20,18,541.933,786.72,0,519,120.24,59.7,NA,9.53,15.945,-44.31,200,0
1178,20,19,557.642,789.338,0,330,136.165,72.222,NA,15.925,9.462,-6.483,200,0
1179,20,20,566.805,790.647,0,319,145.421,79.947,NA,9.256,8.13,-1.332,200,0
1180,20,21,578.586,790.647,0,516,157.202,89.33,NA,11.781,0,-8.13,200,0
1181,20,22,589.058,793.265,0,559,167.997,99.494,NA,10.794,14.036,14.036,200,0
1182,20,23,595.603,798.501,0,326,176.379,107.833,NA,8.382,38.66,24.624,200,0
1183,20,24,602.148,802.428,0,776,184.011,115.461,NA,7.633,30.964,-7.696,200,0
1184,20,25,613.929,807.664,0,647,196.904,128.21,NA,12.892,23.962,-7.001,200,200
1185,20,26,625.711,818.136,0,415,212.666,143.778,NA,15.763,41.634,17.671,200,200
1186,20,27,634.874,822.063,0,296,222.636,153.608,NA,9.969,23.199,-18.435,200,200
1187,20,28,642.728,823.372,0,402,230.598,160.967,NA,7.962,9.462,-13.736,200,200
1188,20,29,653.2,824.681,0,469,241.152,170.645,NA,10.554,7.125,-2.337,200,200
1189,20,30,659.745,829.917,0,395,249.534,178.934,NA,8.382,38.66,31.535,200,200
1190,20,31,672.835,835.153,0,299,263.632,192.888,NA,14.099,21.801,-16.858,200,200
